blnid,flnid,bdid,fdid,bpid,fpid,bx,by,bh,fx,fy,fh,bx_1,by_1,bh_1,lcnt,lno,lanetype,limitvel,lanecfgfg,blid1,blid2,blid3,blid4,flid1,flid2,flid3,flid4
15476.0,15543.0,2746.0,1511.0,101849.0,98769.0,6810.737863257616,-8293.957244446588,-62.582097350753884,6806.189922265805,-8305.352932994305,-62.6211509899872,6810.561723457703,-8294.052533085523,-62.58003391549573,0.0,0.0,1.0,25.0,0.0,13763.0,0.0,0.0,0.0,7017.0,0.0,0.0,0.0
15544.0,15589.0,1497.0,2761.0,98775.0,101839.0,6800.268445192004,-8292.674547890569,-62.6152557082346,6797.158966334163,-8300.310533851938,-62.59292713587229,6800.327023552351,-8292.865376954687,-62.61556753417881,0.0,0.0,2.0,25.0,0.0,7095.0,0.0,0.0,0.0,13682.0,0.0,0.0,0.0
15590.0,15657.0,1497.0,2716.0,98775.0,101754.0,6800.268445192004,-8292.674547890569,-62.6152557082346,6811.677950136724,-8297.260221288187,-62.59741905113242,6800.362758700569,-8292.85068988853,-62.61358641837478,0.0,0.0,1.0,25.0,0.0,7095.0,0.0,0.0,0.0,13382.0,0.0,0.0,0.0
15658.0,15703.0,2702.0,1512.0,101760.0,98765.0,6798.988006573317,-8303.153880185157,-62.598595710599966,6806.612851139331,-8306.257599003467,-62.62778629944978,6799.178844759494,-8303.09532131315,-62.59872240965478,0.0,0.0,2.0,25.0,0.0,13460.0,0.0,0.0,0.0,7014.0,0.0,0.0,0.0
15704.0,15773.0,2702.0,1255.0,101760.0,98674.0,6798.988006573317,-8303.153880185157,-62.598595710599966,6803.305501434534,-8291.30665536766,-62.598705212752975,6799.16315578449,-8303.05863058847,-62.59665767895194,0.0,0.0,1.0,25.0,0.0,13460.0,0.0,0.0,0.0,6638.0,0.0,0.0,0.0
15774.0,15816.0,1283.0,2192.0,98590.0,100646.0,6791.46158662727,-8265.951880345578,-62.59900855488149,6794.109184095676,-8258.575563918328,-62.58822185216559,6791.405020139668,-8265.761018412952,-62.5976997165003,0.0,0.0,2.0,25.0,0.0,6505.0,0.0,0.0,0.0,10973.0,0.0,0.0,0.0
15817.0,15893.0,1282.0,2309.0,98668.0,92273.0,6791.855398949418,-8266.795137018627,-62.6005262648946,6778.859999604614,-8262.018623721508,-62.5124868753428,6791.760082529966,-8266.618998029744,-62.6001953395662,0.0,0.0,1.0,25.0,0.0,6637.0,0.0,0.0,0.0,11234.0,0.0,0.0,0.0
15894.0,15944.0,2293.0,1298.0,100736.0,91429.0,6793.456732512199,-8255.204147293667,-62.58314005109696,6785.013101588164,-8252.146956497598,-62.53018000968086,6793.271175405032,-8255.277622180352,-62.582038105376796,0.0,0.0,2.0,25.0,0.0,11384.0,0.0,0.0,0.0,6303.0,0.0,0.0,0.0
15945.0,16021.0,2293.0,1470.0,100736.0,91834.0,6793.456732512199,-8255.204147293667,-62.58314005109696,6788.848538848925,-8268.225426873727,-62.593190323955696,6793.2826137390175,-8255.301404744434,-62.58208122481392,0.0,0.0,1.0,25.0,0.0,11384.0,0.0,0.0,0.0,7096.0,0.0,0.0,0.0
16022.0,16071.0,1454.0,2309.0,98857.0,92273.0,6782.08121294713,-8253.736759573185,-62.54013118544253,6778.859999604614,-8262.018623721508,-62.5124868753428,6782.152735917154,-8253.923331629312,-62.539449892022276,0.0,0.0,2.0,25.0,0.0,7309.0,0.0,0.0,0.0,11234.0,0.0,0.0,0.0
