bwlid,fwlid,blid,flid,blnid,flnid,bpid,fpid,bx,by,bh,fx,fy,fh,width,color,type
8223.0,8253.0,18088.0,18118.0,5953.0,5981.0,18195.0,18226.0,6799.965810781397,-8177.085158353701,-62.42791888665852,6802.780302786152,-8182.086085848779,-62.43836532667956,0.0,87.0,2.0
8254.0,8288.0,18119.0,18153.0,141.0,170.0,18227.0,18262.0,6821.849761766435,-8222.688673197445,-62.43820928579453,6824.344929113369,-8228.037510799591,-62.464810986816246,0.0,87.0,2.0
8289.0,8323.0,18154.0,18188.0,90.0,119.0,18263.0,18298.0,6817.496900542034,-8213.404429621976,-62.3945327926408,6820.052234319319,-8218.816072242895,-62.43327063280776,0.0,87.0,2.0
8324.0,8359.0,18189.0,18224.0,4213.0,4243.0,18299.0,18335.0,6826.882753902571,-8218.132181201314,-62.46268854994423,6824.327507025654,-8212.671554637784,-62.43488526450028,0.0,87.0,2.0
8360.0,8395.0,18225.0,18260.0,4645.0,4674.0,18336.0,18372.0,6845.208904386658,-8257.386237361261,-62.54728286767613,6842.67215252643,-8251.95320064263,-62.53849419942253,0.0,87.0,2.0
8396.0,8430.0,18261.0,18295.0,4594.0,4623.0,18373.0,18408.0,6849.501100605157,-8266.577755880602,-62.51985659736238,6846.97785059254,-8261.174366367717,-62.55711150586876,0.0,87.0,2.0
8431.0,8465.0,18296.0,18330.0,2005.0,5533.0,18409.0,18444.0,6838.631622119113,-8258.671096397915,-62.533903134451975,6841.114538014726,-8264.00520164873,-62.53950937921309,0.0,87.0,2.0
8466.0,8501.0,18331.0,18366.0,1955.0,1984.0,18445.0,18481.0,6834.378487205026,-8249.53483825308,-62.537461812537,6836.91246223554,-8254.978933092842,-62.53525650993606,0.0,87.0,2.0
8502.0,8531.0,18367.0,18396.0,2584.0,5052.0,18482.0,18512.0,6857.838241087864,-8298.578803802875,-62.192582364704776,6858.698886125071,-8292.913633605518,-62.176100590648275,0.0,87.0,2.0
8532.0,8561.0,18397.0,18426.0,4970.0,2564.0,18513.0,18543.0,6853.944709050562,-8307.52107334986,-62.21110088590012,6856.669311718494,-8302.475428044316,-62.2064237201962,0.0,87.0,2.0
8562.0,8594.0,18427.0,18459.0,2491.0,2518.0,18544.0,18577.0,6846.8227887707535,-8314.27008913885,-62.303295570858154,6851.3016082448985,-8310.533904961741,-62.221207950438384,0.0,87.0,2.0
8595.0,8628.0,18460.0,18493.0,2443.0,2471.0,18578.0,18612.0,6838.224552749755,-8318.863591747277,-62.52809704659103,6843.301101936749,-8316.286724642683,-62.42216096771381,0.0,87.0,2.0
8629.0,8662.0,18494.0,18527.0,2394.0,2422.0,18613.0,18647.0,6829.326667625728,-8323.199996636964,-62.65425535309487,6834.513624008771,-8320.702976441882,-62.596533455501685,0.0,87.0,2.0
8663.0,8693.0,18528.0,18558.0,5187.0,5213.0,18648.0,18679.0,6852.140734378496,-8289.677319397057,-62.53482690423516,6851.991438248808,-8295.529043748109,-62.50231426354867,0.0,87.0,2.0
8694.0,8724.0,18559.0,18589.0,5234.0,5262.0,18680.0,18711.0,6850.802146458597,-8299.406063937506,-62.51610731348637,6848.070128469485,-8304.589778713684,-62.50995727502277,0.0,87.0,2.0
8725.0,8756.0,18590.0,18621.0,5282.0,5312.0,18712.0,18744.0,6845.144014240913,-8307.386003280726,-62.56047825927817,6840.219345539044,-8310.590844474531,-62.613394436067665,0.0,87.0,2.0
8757.0,8791.0,18622.0,18656.0,10191.0,10220.0,18745.0,18780.0,6794.615242791642,-8225.14748790978,-62.47434013598058,6797.047036589197,-8230.423533663587,-62.517771363584416,0.0,87.0,2.0
8792.0,8827.0,18657.0,18692.0,10241.0,8849.0,18781.0,18817.0,6798.771410923363,-8234.127546270049,-62.53541391998351,6801.3170525081705,-8239.604454385113,-62.491236241882234,0.0,87.0,2.0
8828.0,8854.0,18693.0,18719.0,8581.0,10024.0,18818.0,18845.0,6811.424269418316,-8261.241415561259,-62.51815040436759,6813.3239182952,-8265.280999153518,-62.52843907162469,0.0,87.0,2.0
8855.0,8881.0,18720.0,18746.0,10045.0,8646.0,18846.0,18873.0,6815.035903546174,-8268.96425609288,-62.542066087688,6816.903313200831,-8272.991456358612,-62.556310167919946,0.0,87.0,2.0
8882.0,8911.0,18747.0,18776.0,8408.0,8441.0,18874.0,18904.0,6831.201379655548,-8296.821282916006,-62.661714804430176,6836.162997660228,-8293.724655318125,-62.65297971254313,0.0,87.0,2.0
